country,Code,Year,users,users2020,broadband,mobile
Haiti,HTI,2020,34.5,0.345,20.67,19.71
High income,,2020,89.82161713,0.898216171,,
Honduras,HND,2020,42.04999924,0.420499992,26.93,30.84
Hong Kong,HKG,2020,92.41313934,0.924131393,254.7,83.58
Hungary,HUN,2020,84.77114868,0.847711487,210.55,60.16
Iceland,ISL,2020,99,0.99,,
India,IND,2020,43,0.43,64.03,17.89
Indonesia,IDN,2020,53.72649384,0.537264938,27.83,23.12
Iran,IRN,2020,84.11087036,0.841108704,21.36,35.48
Ireland,IRL,2020,91.99989319,0.919998932,122.55,62.66
Israel,ISR,2020,90.12734222,0.901273422,162.66,48.3
Italy,ITA,2020,70.48342896,0.70483429,104.09,55.41
Japan,JPN,2020,90.21945953,0.902194595,178.76,69.02
Kazakhstan,KAZ,2020,85.94259644,0.859425964,63.28,31.74
Kenya,KEN,2020,29.5,0.295,19.35,22.14
Kiribati,KIR,2020,38,0.38,149.37,157.18
Kuwait,KWT,2020,99.10588074,0.991058807,51.07,24.71
Laos,LAO,2020,33.79999924,0.337999992,48.16,30.93
Latin America and Caribbean,,2020,73.68558502,0.73685585,,
Latvia,LVA,2020,88.90000153,0.889000015,135.22,50.07
Lebanon,LBN,2020,84.09999847,0.840999985,18.22,32.64
Lesotho,LSO,2020,43,0.43,24.64,
Liberia,LBR,2020,25.60000038,0.256000004,25.68,
Lithuania,LTU,2020,83.05554962,0.830555496,147.05,66.25
Low and middle income,,2020,54.17268372,0.541726837,,
Low income,,2020,20.61533356,0.206153336,,
Lower middle income,,2020,44.87673187,0.448767319,,
Luxembourg,LUX,2020,98.82242584,0.988224258,172.05,116.76
Macao,MAC,2020,88.09999847,0.880999985,178.9,62.31
Malaysia,MYS,2020,89.55501556,0.895550156,107.55,31.34
Maldives,MDV,2020,62.93000031,0.629300003,27.42,66.9
Mali,MLI,2020,27.39999962,0.273999996,20.82,29.79
Malta,MLT,2020,86.85876465,0.868587646,144.06,70.73
Mauritania,MRT,2020,40.79999924,0.407999992,11.55,19.96
Mauritius,MUS,2020,64.88490295,0.64884903,39.85,30.28
Mexico,MEX,2020,71.96819305,0.719681931,54.88,34.33
Middle East and North Africa,,2020,77.83233643,0.778323364,22.54,
Middle income,,2020,57.21282196,0.57212822,,
Mongolia,MNG,2020,62.5000267,0.625000267,53.53,21.34
Montenegro,MNE,2020,77.60879517,0.776087952,60.03,44.48
Morocco,MAR,2020,84.12036133,0.841203613,27.21,39.52
Mozambique,MOZ,2020,16.5,0.165,9.27,25.02
Myanmar,MMR,2020,35.09999847,0.350999985,20.69,28.19
Namibia,NAM,2020,41,0.41,19.58,23.18
Nepal,NPL,2020,37.70000076,0.377000008,33.87,22.39
Netherlands,NLD,2020,91.33333588,0.913333359,165,106.98
New Zealand,NZL,2020,91.5,0.915,170.51,75.91
Nicaragua,NIC,2020,45.20000076,0.452000008,29.94,26.59
Nigeria,NGA,2020,35.5,0.355,17.65,24.74
North America,,2020,91.52128601,0.91521286,,
North Macedonia,MKD,2020,81.40554047,0.814055405,43.24,64.02
Norway,NOR,2020,97,0.97,168.25,177.72
Oman,OMN,2020,95.23000336,0.952300034,68.28,91.21
Pakistan,PAK,2020,25,0.25,13.84,19.82
Palestine,PSE,2020,74.59999847,0.745999985,29.46,7.57
Panama,PAN,2020,64.25,0.6425,137.38,20.44
Paraguay,PRY,2020,73.9575119,0.739575119,72.5,20.65
Peru,PER,2020,65.25,0.6525,58.73,24.82
Philippines,PHL,2020,49.79999924,0.497999992,71.85,35.03
Poland,POL,2020,83.18489075,0.831848907,156.33,57.23
Portugal,PRT,2020,78.26165771,0.782616577,162.55,59.91
Qatar,QAT,2020,99.65284729,0.996528473,113.88,172.18
Romania,ROU,2020,78.45526886,0.784552689,232.17,59.67
Russia,RUS,2020,84.99466705,0.849946671,95.96,28.99
Rwanda,RWA,2020,26.5,0.265,26.26,
Saint Lucia,LCA,2020,53.29999924,0.532999992,52.3,
Sao Tome and Principe,STP,2020,33,0.33,121.4,
Saudi Arabia,SAU,2020,97.86000061,0.978600006,94.64,155.97
Senegal,SEN,2020,42.59999847,0.425999985,35.01,23.59
Serbia,SRB,2020,78.36804199,0.78368042,86.77,53.82
Seychelles,SYC,2020,79,0.79,24.9,
Sierra Leone,SLE,2020,18,0.18,13.56,
Singapore,SGP,2020,92.00434875,0.920043488,255.83,105.01
Slovakia,SVK,2020,89.92090607,0.899209061,115.11,56.01
Slovenia,SVN,2020,86.6013031,0.866013031,115.61,74.84
South Africa,ZAF,2020,70,0.7,18.98,14.74
South Asia,,2020,38.56237411,0.385623741,54.75,52.19
South Korea,KOR,2020,96.50505829,0.965050583,212.57,202.61
South Sudan,SSD,2020,6.5,0.065,201.47,61.62
Spain,ESP,2020,93.20565033,0.932056503,26.08,16.58
Sri Lanka,LKA,2020,35,0.35,7.92,14.51
Sub-Saharan Africa,,2020,30.04261971,0.300426197,15.93,42.97
Sudan,SDN,2020,28.39999962,0.283999996,174.9,103.08
Suriname,SUR,2020,70.05999756,0.700599976,229.96,135.7
Sweden,SWE,2020,94.53942871,0.945394287,12.72,19.21
Switzerland,CHE,2020,94.19999695,0.941999969,152.01,95.51
Syria,SYR,2020,35.77999878,0.357799988,35.45,16.15
Tanzania,TZA,2020,22,0.22,19.77,13.23
Thailand,THA,2020,77.84374237,0.778437424,225.17,56.9
Timor,TLS,2020,29.10000038,0.291000004,,
Togo,TGO,2020,24,0.24,20.76,36.08
Tunisia,TUN,2020,71.90000153,0.719000015,11.13,35.57
Turkey,TUR,2020,77.66999817,0.776699982,43.48,48.85
Uganda,UGA,2020,19.89999962,0.198999996,13.55,19.02
Ukraine,UKR,2020,75.03791046,0.750379105,76.82,31.95
United Arab Emirates,ARE,2020,100,1,189.07,238.06
United Kingdom,GBR,2020,94.81819916,0.948181992,102.24,86.56
United States of America,USA,2020,90.90000153,0.909000015,203.81,110.07
Upper middle income,,2020,73.37981415,0.733798141,69.91,38.08
Uruguay,URY,2020,86.09999847,0.860999985,45.88,19.29
Uzbekistan,UZB,2020,71.09999847,0.710999985,23.92,7.68
Vietnam,VNM,2020,70.30000305,0.703000031,78.34,43.32
World,OWID_WRL,2020,59.94024658,0.599402466,7.59,
Zambia,ZMB,2020,19.79999924,0.197999992,17.24,18.98
Zimbabwe,ZWE,2020,29.29999924,0.292999992,17.81,
